timestamp,dpid,packets_per_second
1716749917.8119788,4,15
1716749918.8122756,1,3
1716749918.8122756,4,7
1716749918.8122756,5,5
1716749918.8122756,2,3
1716749919.8128653,3,6
1716749919.8128653,1,9
1716749919.8128653,4,7
1716749919.8128653,2,3
1716749920.8142536,4,16
1716749920.8142536,3,4
1716749921.8154707,2,2
1716749921.8154707,3,2
1716749922.8157177,5,4
1716749922.8157177,4,3
1716749923.815979,3,6
1716749923.815979,5,5
1716749923.815979,4,6
1716749923.815979,2,4
1716749923.815979,1,2
1716749924.8169947,5,1
1716749925.8180714,2,6
1716749926.8189542,3,19
1716749926.8189542,4,2
1716749926.8189542,2,6
1716749927.819867,3,3
1716749927.819867,2,9
1716749928.820052,2,2
1716749928.820052,3,2
1716749928.820052,4,8
1716749929.8208349,3,5
1716749930.8219407,1,6
1716749930.8219407,2,6
1716749930.8219407,3,4
1716749930.8219407,4,2
1716749931.8230116,3,15
1716749932.8232977,1,2
1716749932.8232977,4,6
1716749932.8232977,2,11
1716749932.8232977,3,4
1716749932.8232977,5,4
1716749933.8239524,4,4
1716749935.825658,3,10
1716749935.825658,4,5
1716749935.825658,5,13
1716749937.8280299,4,27
1716749937.8280299,5,4
1716749937.8280299,3,19
1716749937.8280299,2,26
1716749938.8290973,2,2
1716749938.8290973,1,2
1716749942.8330204,3,4
1716749942.8330204,2,4
1716749942.8330204,1,2
1716749942.8330204,4,2
1716749942.8330204,5,2
1716749946.8369253,3,2
1716749946.8369253,4,2
1716749946.8369253,5,2
1716749947.8376994,4,8
1716749947.8376994,5,12
1716749948.8384044,5,6
1716749948.8384044,1,4
1716749948.8384044,4,11
1716749948.8384044,2,8
1716749948.8384044,3,6
1716749949.8393757,1,20
1716749949.8393757,3,2
1716749949.8393757,4,2
1716749949.8393757,2,11
1716749950.8397183,4,10
1716749950.8397183,3,5
1716749954.8432605,2,2
1716749954.8432605,3,2
1716749955.8446136,2,3
1716749956.8456445,3,14
1716749956.8456445,2,9
1716749957.846673,3,4
1716749957.846673,2,7
1716749958.84767,5,2
1716749958.84767,4,7
1716749958.84767,3,2
1716749959.84876,3,5
1716749960.849666,2,2
1716749960.849666,3,2
1716749960.849666,4,2
1716749961.850649,3,9
1716749962.8513515,2,16
1716749963.8522875,4,5
1716749964.8533533,3,2
1716749964.8533533,2,2
1716749964.8533533,1,2
1716749965.8544161,3,7
1716749965.8544161,4,9
1716749965.8544161,5,11
1716749966.8553967,1,6
1716749966.8553967,2,6
1716749966.8553967,3,4
1716749966.8553967,4,2
1716749967.855689,4,18
1716749967.855689,3,1
1716749967.855689,5,12
1716749967.855689,2,6
1716749967.855689,1,5
1716749968.8569605,1,34
1716749968.8569605,5,23
1716749968.8569605,3,23
1716749968.8569605,2,16
1716749969.8579924,4,4
1716749969.8579924,5,3
1716749969.8579924,3,2
1716749969.8579924,2,1
1716749969.8579924,1,1
1716749971.859914,3,8
1716749971.859914,5,4
1716749971.859914,2,8
1716749971.859914,4,6
1716749971.859914,1,4
